piste,X,Y,Z,formation
22566,247551.0,6708973.0,31.035,Mr
22567,247485.0,6708951.0,30.773,Mr
22568,247507.0,6708951.0,35.194,Mr
22569,247529.0,6708951.0,35.427,Mr
22570,247551.0,6708951.0,34.683,Mr
22571,247573.0,6708951.0,34.296,Mr
22572,247463.0,6708929.0,30.808,Mr
22573,247485.0,6708929.0,32.239,Mr
22574,247507.0,6708929.0,33.743,Mr
22575,247529.0,6708929.0,34.175,Mr
22576,247551.0,6708929.0,33.441,Mr
22577,247573.0,6708929.0,31.836,Mr
22578,247463.0,6708907.0,30.149,Mr
22579,247485.0,6708907.0,32.843,Mr
22580,247507.0,6708907.0,32.902,Mr
22581,247529.0,6708907.0,31.911,Mr
22582,247551.0,6708907.0,31.324,Mr
22583,247485.0,6708885.0,30.103,Mr
22584,247507.0,6708885.0,30.814,Mr
24007,247821.0,6708809.0,34.332,Mr
24008,247843.0,6708809.0,34.138,Mr
24009,247865.0,6708809.0,34.012,Mr
24010,247887.0,6708809.0,35.838,Mr
1,247856.753,6709348.456,40.546,Mr
13,247824.02,6709204.035,30.767,Mr
13,247824.02,6709204.035,27.567,Mr
14,247797.018,6709330.719,42.979,Mr
15,247729.254,6709315.971,44.303,Mr
16,247730.269,6709187.715,31.217,Mr
16,247730.269,6709187.715,29.747,Mr
17,247689.899,6709195.473,29.961,Mr
18,247671.235,6709213.837,33.389,Mr
18,247671.235,6709213.837,33.189,Mr
18,247671.235,6709213.837,32.229,Mr
2,247899.271,6709359.579,40.542,Mr
22,247563.505,6709272.244,28.732,Mr
24,247532.287,6709264.979,27.565,Mr
25,247468.96,6709279.572,4.872,Mr
26,247492.815,6709261.835,11.293,Mr
27,247515.104,6709235.815,25.827,Mr
28,247527.764,6709213.353,28.869,Mr
3,247628.107,6708978.595,24.374,Mr
30,247553.41,6709163.031,26.711,Mr
31,247567.485,6709137.28,28.716,Mr
32,247591.619,6709129.762,27.195,Mr
33,247660.286,6709113.756,22.56,Mr
34,247670.149,6709154.11,26.841,Mr
35,247714.574,6709094.023,15.908,Mr
36,247720.671,6709030.716,14.209,Mr
37,247742.391,6708972.308,17.191,Mr
38,247762.324,6708912.041,20.117,Mr
39,247759.155,6708853.639,10.609,Mr
4,247621.308,6708976.878,25.573,Mr
40,247704.002,6708832.266,19.742,Mr
