id,X,Y,Z,formation
k178,246707,6709675,38.64,kallio
k179,246729,6709675,38.68,kallio
k180,246751,6709675,39.262,kallio
k181,246773,6709675,36.941,kallio
k182,246795,6709675,36.359,kallio
k183,246817,6709675,31.777,kallio
k184,246641,6709653,32.437,kallio
k185,246663,6709653,33.475,kallio
k186,246685,6709653,38.734,kallio
k187,246707,6709653,41.001,kallio
k188,246729,6709653,39.942,kallio
k189,246751,6709653,39.822,kallio
k190,246773,6709653,38.143,kallio
k191,246795,6709653,34.426,kallio
k192,246817,6709653,32.634,kallio
k193,246839,6709653,30.511,kallio
k194,246641,6709631,33.472,kallio
k195,246663,6709631,36.837,kallio
k196,246685,6709631,38.431,kallio
k197,246707,6709631,41.849,kallio
k198,246729,6709631,41.152,kallio
k199,246751,6709631,39.426,kallio
k200,246773,6709631,37.52,kallio
k201,246795,6709631,35.322,kallio
k202,246817,6709631,35.492,kallio
k203,246839,6709631,30.681,kallio
k204,246619,6709609,31.358,kallio
k205,246641,6709609,34.358,kallio
k206,246663,6709609,37.51,kallio
k207,246685,6709609,37.995,kallio
k208,246707,6709609,38.772,kallio
k209,246729,6709609,39.812,kallio
k210,246751,6709609,38.828,kallio
k211,246773,6709609,37.136,kallio
k212,246795,6709609,36.349,kallio
k213,246817,6709609,35.335,kallio
k214,246663,6709587,35.692,kallio
k215,246685,6709587,36.833,kallio
k216,246707,6709587,37.419,kallio
k217,246729,6709587,37.521,kallio
k218,246751,6709587,36.566,kallio
k219,246773,6709587,35.765,kallio
k220,246795,6709587,34.776,kallio
k221,246817,6709587,33.045,kallio
k222,246707,6709565,31.299,kallio
k223,246645,6709489,30.886,kallio
k224,246755,6709489,29.7,kallio
k225,246623,6709467,35.083,kallio
k226,246645,6709467,38.611,kallio
k227,246667,6709467,40.392,kallio
k228,246689,6709467,38.017,kallio
k229,246711,6709467,36.561,kallio
k230,246733,6709467,35.225,kallio
k231,246755,6709467,32.895,kallio
k232,246777,6709467,34.353,kallio
k233,246799,6709467,30.241,kallio
k234,246821,6709467,29.922,kallio
k235,246623,6709445,36.252,kallio
k236,246645,6709445,38.389,kallio
k237,246667,6709445,39.514,kallio
k238,246689,6709445,38.95,kallio
k239,246711,6709445,37.914,kallio
k240,246733,6709445,37.453,kallio
k241,246755,6709445,36.191,kallio
k242,246777,6709445,35.195,kallio
k243,246799,6709445,33.124,kallio
k244,246821,6709445,31.265,kallio
k245,246623,6709423,37.549,kallio
k246,246645,6709423,40.638,kallio
k247,246667,6709423,42.592,kallio
k248,246689,6709423,43.594,kallio
k249,246711,6709423,44.925,kallio
k250,246733,6709423,41.193,kallio
k251,246755,6709423,37.602,kallio
k252,246777,6709423,35.071,kallio
k253,246799,6709423,33.156,kallio
k254,246623,6709401,36.507,kallio
k255,246645,6709401,38.542,kallio
k256,246667,6709401,42.921,kallio
k257,246689,6709401,41.785,kallio
k258,246711,6709401,41.437,kallio
k259,246733,6709401,40.365,kallio
k260,246755,6709401,37.356,kallio
k261,246667,6709379,36.333,kallio
k262,246689,6709379,38.172,kallio
k263,246711,6709379,37.987,kallio
k264,245203,6709697,36.503,kallio
k265,245225,6709697,36.811,kallio
k266,245247,6709697,36.951,kallio
k267,245203,6709675,40.877,kallio
k268,245225,6709675,41.998,kallio
k269,245247,6709675,43.348,kallio
k270,245269,6709675,40.29,kallio
k271,245291,6709675,39.465,kallio
k272,245313,6709675,36.983,kallio
k273,245203,6709653,48.12,kallio
k274,245225,6709653,50.655,kallio
k275,245247,6709653,51.951,kallio
k276,245269,6709653,50.934,kallio
k277,245291,6709653,46.442,kallio
k278,245313,6709653,46.998,kallio
k279,245335,6709653,42.633,kallio
k280,245357,6709653,39.314,kallio
k281,245225,6709631,51.684,kallio
k282,245247,6709631,50.72,kallio
k283,245269,6709631,50.221,kallio
k284,245291,6709631,49.921,kallio
k285,245313,6709631,48.884,kallio
k286,245335,6709631,47.237,kallio
k287,245357,6709631,45.134,kallio
k288,245379,6709631,40.56,kallio
k289,245401,6709631,36.35,kallio
k290,245225,6709609,48.871,kallio
k291,245247,6709609,49.023,kallio
k292,245269,6709609,48.154,kallio
k293,245291,6709609,48.565,kallio
k294,245313,6709609,48.6,kallio
k295,245335,6709609,47.88,kallio
k296,245357,6709609,45.493,kallio
k297,245379,6709609,43.505,kallio
k298,245401,6709609,40.893,kallio
k299,245225,6709587,45.52,kallio
k300,245247,6709587,45.789,kallio
k301,245269,6709587,45.846,kallio
k302,245291,6709587,46.416,kallio
k303,245313,6709587,47.875,kallio
k304,245335,6709587,46.762,kallio
k305,245357,6709587,44.095,kallio
k306,245379,6709587,41.874,kallio
k307,245401,6709587,39.174,kallio
k308,245423,6709587,35.122,kallio
k309,245247,6709565,43.206,kallio
k310,245269,6709565,43.639,kallio
k311,245291,6709565,44.749,kallio
k312,245313,6709565,44.081,kallio
k313,245335,6709565,44.014,kallio
k314,245357,6709565,42.185,kallio
k315,245379,6709565,39.887,kallio
k316,245401,6709565,38.051,kallio
k317,245291,6709543,40.614,kallio
k318,245313,6709543,41.045,kallio
k319,245335,6709543,41.147,kallio
k320,245973,6709529,40.018,kallio
k321,245995,6709529,41.105,kallio
k322,246039,6709529,30.931,kallio
k323,245951,6709507,37.425,kallio
k324,245973,6709507,37.621,kallio
k325,245995,6709507,42.289,kallio
k326,246017,6709507,36.266,kallio
k327,246039,6709507,34.903,kallio
k328,246061,6709507,33.509,kallio
k329,245863,6709485,37.942,kallio
k330,245885,6709485,39.997,kallio
k331,245907,6709485,39.859,kallio
k332,245929,6709485,39.835,kallio
k333,245951,6709485,38.523,kallio
k334,245973,6709485,38.333,kallio
k335,245995,6709485,41.822,kallio
k336,246017,6709485,37.804,kallio
k337,246039,6709485,36.017,kallio
k338,246061,6709485,33.73,kallio
k339,245775,6709463,35.215,kallio
k340,245797,6709463,37.122,kallio
k341,245819,6709463,38.463,kallio
k342,245841,6709463,38.893,kallio
k343,245863,6709463,40.3,kallio
k344,245885,6709463,41.299,kallio
k345,245907,6709463,41.306,kallio
k346,245929,6709463,41.253,kallio
k347,245951,6709463,39.891,kallio
k348,245973,6709463,38.727,kallio
k349,245995,6709463,38.939,kallio
k350,246017,6709463,41.578,kallio
k351,246039,6709463,35.618,kallio
k352,245731,6709441,34.813,kallio
k353,245753,6709441,37.4,kallio
k354,245775,6709441,39.26,kallio
k355,245797,6709441,41.015,kallio
k356,245819,6709441,43.356,kallio
k357,245841,6709441,50.678,kallio
k358,245863,6709441,53.205,kallio
k359,245885,6709441,52.647,kallio
k360,245907,6709441,50.422,kallio
k361,245929,6709441,47.769,kallio
k362,245951,6709441,45.144,kallio
k363,245973,6709441,43.278,kallio
k364,245995,6709441,42.882,kallio
k365,246017,6709441,41.402,kallio
k366,246039,6709441,43.744,kallio
k367,246061,6709441,36.347,kallio
k368,246083,6709441,34.121,kallio
k369,245687,6709419,33.354,kallio
k370,245709,6709419,35.356,kallio
k371,245731,6709419,37.788,kallio
k372,245753,6709419,46.632,kallio
k373,245775,6709419,45.313,kallio
k374,245797,6709419,46.684,kallio
k375,245819,6709419,47.646,kallio
k376,245841,6709419,50.893,kallio
k377,245863,6709419,55.098,kallio
k378,245885,6709419,55.279,kallio
k379,245907,6709419,52.827,kallio
k380,245929,6709419,51.689,kallio
k381,245951,6709419,51.567,kallio
k382,245973,6709419,52.548,kallio
k383,245995,6709419,50.041,kallio
k384,246017,6709419,40.401,kallio
k385,246039,6709419,47.155,kallio
k386,246061,6709419,45.617,kallio
k387,246083,6709419,44.184,kallio
k388,246105,6709419,36.91,kallio
k389,245665,6709397,33.729,kallio
k390,245687,6709397,35.672,kallio
k391,245709,6709397,38.943,kallio
k392,245731,6709397,40.141,kallio
k393,245753,6709397,46.773,kallio
k394,245775,6709397,46.531,kallio
k395,245797,6709397,47.38,kallio
k396,245819,6709397,48.183,kallio
k397,245841,6709397,47.802,kallio
k398,245863,6709397,51.692,kallio
k399,245885,6709397,52.731,kallio
k400,245907,6709397,51.265,kallio
k401,245929,6709397,50.007,kallio
k402,245951,6709397,50.133,kallio
k403,245973,6709397,49.814,kallio
k404,245995,6709397,50.102,kallio
k405,246017,6709397,48.496,kallio
k406,246039,6709397,43.285,kallio
k407,246061,6709397,50.201,kallio
k408,246083,6709397,47.865,kallio
k409,246105,6709397,43.217,kallio
k410,246127,6709397,37.941,kallio
k411,245643,6709375,31.676,kallio
k412,245665,6709375,33.43,kallio
k413,245687,6709375,35.825,kallio
k414,245709,6709375,37.281,kallio
k415,245731,6709375,39.032,kallio
k416,245753,6709375,42.292,kallio
k417,245775,6709375,44.662,kallio
k418,245797,6709375,45.356,kallio
k419,245819,6709375,46.114,kallio
k420,245841,6709375,46.387,kallio
k421,245863,6709375,46.963,kallio
k422,245885,6709375,47.979,kallio
k423,245907,6709375,48.305,kallio
k424,245929,6709375,47.979,kallio
k425,245951,6709375,47.176,kallio
k426,245973,6709375,47.043,kallio
k427,245995,6709375,47.152,kallio
k428,246017,6709375,46.952,kallio
k429,246039,6709375,39.088,kallio
k430,246061,6709375,46.549,kallio
k431,246083,6709375,45.925,kallio
k432,246105,6709375,43.328,kallio
k433,246127,6709375,39.262,kallio
k434,245665,6709353,30.783,kallio
k435,245797,6709353,42.262,kallio
k436,245819,6709353,43.3,kallio
k437,245841,6709353,43.814,kallio
k438,245863,6709353,44.669,kallio
k439,245885,6709353,46.045,kallio
k440,245907,6709353,46.401,kallio
k441,245929,6709353,46.231,kallio
k442,245951,6709353,45.433,kallio
k443,245973,6709353,45.088,kallio
k444,245995,6709353,44.816,kallio
k445,246017,6709353,44.306,kallio
k446,246039,6709353,37.739,kallio
k447,246061,6709353,43.556,kallio
k448,246083,6709353,43.443,kallio
k449,245863,6709331,41.791,kallio
k450,245885,6709331,43.379,kallio
k451,245907,6709331,44.588,kallio
k452,245929,6709331,44.367,kallio
k453,245951,6709331,43.648,kallio
k454,245973,6709331,43.029,kallio
k455,245995,6709331,42.084,kallio
k456,246017,6709331,41.554,kallio
k457,245341,6709435,30.481,kallio
k458,245319,6709413,30.455,kallio
k459,245341,6709413,30.94,kallio
k460,245363,6709413,30.355,kallio
k461,245385,6709413,30.205,kallio
k462,245209,6709391,29.191,kallio
k463,245231,6709391,29.733,kallio
k464,245253,6709391,31.537,kallio
k465,245275,6709391,30.776,kallio
k466,245297,6709391,31.142,kallio
k467,245319,6709391,32.511,kallio
k468,245341,6709391,33.794,kallio
k469,245363,6709391,33.96,kallio
k470,245385,6709391,33.11,kallio
k471,245407,6709391,31.763,kallio
k472,245429,6709391,30.628,kallio
k473,245451,6709391,30.207,kallio
k474,245473,6709391,30.158,kallio
k475,245209,6709369,31.035,kallio
k476,245231,6709369,32.006,kallio
k477,245253,6709369,32.742,kallio
k478,245275,6709369,32.898,kallio
k479,245297,6709369,32.157,kallio
k480,245319,6709369,32.598,kallio
k481,245341,6709369,33.887,kallio
k482,245363,6709369,34.694,kallio
k483,245385,6709369,33.318,kallio
k484,245407,6709369,32.652,kallio
k485,245429,6709369,31.113,kallio
k486,245451,6709369,30.679,kallio
k487,245473,6709369,30.275,kallio
k488,245209,6709347,30.61,kallio
k489,245231,6709347,32.272,kallio
k490,245253,6709347,32.42,kallio
k491,245275,6709347,31.613,kallio
k492,245297,6709347,31.15,kallio
k493,245319,6709347,30.982,kallio
k494,245341,6709347,31.487,kallio
k495,245363,6709347,30.778,kallio
k496,244981,6709129,30.775,kallio
k497,245025,6709129,30.356,kallio
k498,245047,6709129,32.475,kallio
k499,245069,6709129,34.74,kallio
k500,245003,6709107,33.934,kallio
k501,245025,6709107,33.355,kallio
k502,245047,6709107,38.737,kallio
k503,245069,6709107,38.953,kallio
k504,245003,6709085,34.658,kallio
k505,245025,6709085,36.55,kallio
k506,245047,6709085,39.226,kallio
k507,245069,6709085,39.558,kallio
k508,245025,6709063,35.138,kallio
k509,245047,6709063,36.974,kallio
k510,245299,6709229,29.037,kallio
k511,245255,6709207,30.285,kallio
k512,245277,6709207,32.176,kallio
k513,245299,6709207,33.223,kallio
k514,245321,6709207,34.12,kallio
k515,245343,6709207,32.616,kallio
k516,245365,6709207,30.981,kallio
k517,245387,6709207,30.445,kallio
k518,245409,6709207,29.777,kallio
k519,245431,6709207,30.095,kallio
k520,245453,6709207,30.423,kallio
k521,245233,6709185,32.321,kallio
k522,245255,6709185,36.498,kallio
k523,245277,6709185,44.169,kallio
k524,245299,6709185,46.027,kallio
k525,245321,6709185,43.402,kallio
k526,245343,6709185,41.962,kallio
k527,245365,6709185,40.62,kallio
k528,245387,6709185,39.372,kallio
k529,245409,6709185,38.974,kallio
k530,245431,6709185,36.61,kallio
k531,245453,6709185,34.881,kallio
k532,245475,6709185,35.195,kallio
k533,245497,6709185,35.666,kallio
k534,245519,6709185,35.666,kallio
k535,245541,6709185,34.47,kallio
k536,245563,6709185,35.297,kallio
k537,245585,6709185,35.043,kallio
k538,245607,6709185,33.925,kallio
k539,245629,6709185,33.131,kallio
k540,245651,6709185,31.717,kallio
k541,245739,6709185,29.899,kallio
k542,245233,6709163,34.92,kallio
k543,245255,6709163,38.31,kallio
k544,245277,6709163,43.308,kallio
k545,245299,6709163,47.477,kallio
k546,245321,6709163,44.962,kallio
k547,245343,6709163,44.964,kallio
k548,245365,6709163,45.889,kallio
k549,245387,6709163,46.077,kallio
k550,245409,6709163,45.267,kallio
k551,245431,6709163,43.346,kallio
k552,245453,6709163,42.081,kallio
k553,245475,6709163,41.587,kallio
k554,245497,6709163,41.767,kallio
k555,245519,6709163,42.617,kallio
k556,245541,6709163,44.688,kallio
k557,245563,6709163,44.313,kallio
k558,245585,6709163,42.752,kallio
k559,245607,6709163,41.549,kallio
k560,245629,6709163,39.899,kallio
k561,245651,6709163,43.604,kallio
k562,245673,6709163,39.406,kallio
k563,245695,6709163,33.486,kallio
k564,245739,6709163,33.984,kallio
k565,245761,6709163,32.002,kallio
k566,245277,6709141,40.286,kallio
k567,245299,6709141,43.962,kallio
k568,245321,6709141,44.139,kallio
k569,245343,6709141,43.488,kallio
k570,245365,6709141,43.673,kallio
k571,245387,6709141,44.131,kallio
k572,245409,6709141,44.618,kallio
k573,245431,6709141,44.894,kallio
k574,245453,6709141,44.631,kallio
k575,245475,6709141,44.491,kallio
k576,245497,6709141,46.664,kallio
k577,245519,6709141,45.362,kallio
k578,245541,6709141,45.586,kallio
k579,245563,6709141,46.181,kallio
k580,245585,6709141,45.326,kallio
k581,245607,6709141,45.129,kallio
k582,245629,6709141,45.129,kallio
k583,245651,6709141,46.6,kallio
k584,245673,6709141,43.498,kallio
k585,245695,6709141,38.262,kallio
k586,245717,6709141,36.351,kallio
k587,245739,6709141,35.375,kallio
