PO,OM,Or,TY,TT,X,Y,Z,pvm,nro,AL,KL,SA,Si,KI,Sa,liSa,Hk,Sr,SrMr,Ki,Mr,Hksa,Sasi,Srmr,Hksr,Ka,Paattymissyvyys
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,247729.254,6709315.971,45.503,14022022,15,0.20,,[],[],[],['0.40'],[],[],[],[],[],['0.84'],[],[],[],[],[],1.20
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,247899.271,6709359.579,41.342,14022022,2,0.20,,[],[],[],['0.40'],[],[],[],[],[],['0.78'],[],[],[],[],[],0.80
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,247618.373,6708865.166,29.275,11022022,43,0.20,,[],[],[],"['0.60', '1.80']",[],[],[],[],[],['5.46'],[],[],[],[],[],5.46
,Kaarinan kaupunki,Kaarinan kaupunki,20005 -,NO 1 - - -,247689.314,6709106.452,29.253,16032022,82,,,[],[],[],"['0.00', '1.00', '2.00', '3.00']",[],[],[],[],[],[],[],[],[],[],[],
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247742.391,6708972.308,29.251,11022020,37,000.60  -,,[],[],[],"['000.80', '006.00']",[],[],[],[],[],['012.05'],[],[],[],[],[],012.06
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247438.106,6709227.207,26.931,09022020,80,000.60  -,,[],[],[],"['000.80', '005.40']",[],['011.20'],[],[],[],['011.40'],[],[],[],[],[],011.40
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247449.002,6709182.748,28.201,21022020,78,000.60  -,,[],[],[],['001.60'],[],['002.40'],[],[],[],"['002.60', '002.80']",[],[],[],[],[],002.81
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,247596.434,6709028.329,29.345,10022022,49,0.20,,[],[],[],['0.80'],[],[],[],[],[],['5.24'],[],[],[],[],[],5.26
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,247614.8,6708864.376,29.291,11022022,84,0.20,,[],[],[],['0.80'],[],[],[],[],[],['5.46'],[],[],[],[],[],5.46
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247660.286,6709113.756,29.32,10022020,33,000.60  -,,[],[],[],['000.80'],[],['006.60'],[],[],[],['006.76'],[],[],[],[],[],006.76
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247670.149,6709154.11,29.831,10022020,34,000.60  -,,[],[],[],['000.80'],[],[],[],[],[],"['002.80', '002.87', '002.99']",[],[],[],[],[],002.99
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,247714.869,6708793.141,30.069,11022022,41,0.20,,[],[],[],['0.80'],[],[],[],[],[],['10.68'],[],[],[],[],[],10.68
,Kaarinan kaupunki,Kaarinan kaupunki,20005,SI  0 0,247481.095,6709270.133,26.785,17022022,85,0.00,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],15.00
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247596.51,6709270.593,33.589,17022020,21,000.20  -,,[],[],[],[],[],[],[],[],['000.45'],[],[],[],"['000.40', '000.89']",[],[],000.89
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247645.972,6709245.457,36.395,18022020,19,000.20  -,,[],[],[],[],[],[],['000.40'],[],['000.59'],[],[],[],['000.74'],[],[],000.74
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247495.113,6709210.768,28.103,17022020,79,000.80  -,,[],[],[],['001.00'],[],[],[],[],[],['005.17'],[],[],[],[],[],005.18
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247515.104,6709235.815,28.367,17022020,27,000.80  -,,[],[],[],['001.00'],[],['001.60'],[],[],[],"['001.80', '001.98', '002.54']",[],[],[],[],[],002.54
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,247610.584,6708979.082,29.456,11022022,48,0.20,,[],[],[],['0.80'],[],[],[],[],[],['4.36'],[],[],[],[],[],4.36
